rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted,state_encoded
535601,376381,mobile,ended,9.0,,,checkout delayed,,no,,no,0
535611,397814,mobile,ended,68.0,535512.0,300.0,checkout delayed,44.0,yes,-256.0,no,0
535726,375944,connect,ended,38.0,,,checkout delayed,,no,,no,0
535738,398733,mobile,ended,-1.0,,,checkout not delayed,,no,,no,0
535770,352436,mobile,ended,74.0,524703.0,60.0,checkout delayed,7.0,yes,-53.0,no,0
535821,381583,mobile,ended,-10.0,,,checkout not delayed,,no,,no,0
536108,337311,mobile,ended,-843.0,,,checkout not delayed,,no,,no,0
536190,394560,mobile,canceled,,,,checkout not delayed,,no,,no,1
536343,369230,mobile,ended,780.0,,,checkout delayed,,no,,no,0
536444,389785,connect,ended,-130.0,,,checkout not delayed,,no,,no,0
536914,363387,mobile,canceled,,,,checkout not delayed,,no,,no,1
536978,378931,mobile,ended,271.0,,,checkout delayed,,no,,no,0
536990,193354,mobile,ended,-12.0,,,checkout not delayed,,no,,no,0
537040,267735,mobile,ended,933.0,,,checkout delayed,,no,,no,0
537060,223654,mobile,canceled,,,,checkout not delayed,,no,,no,1
537069,403304,mobile,canceled,,,,checkout not delayed,,no,,no,1
537082,359641,mobile,ended,1967.0,,,checkout delayed,,no,,no,0
537277,342067,mobile,ended,-125.0,,,checkout not delayed,,no,,no,0
537352,349280,mobile,ended,-96.0,,,checkout not delayed,,no,,no,0
537381,338052,mobile,ended,205.0,,,checkout delayed,,no,,no,0
537464,300336,mobile,canceled,,,,checkout not delayed,,no,,no,1
537576,397470,mobile,ended,18.0,539005.0,0.0,checkout delayed,-29.0,no,-29.0,no,0
537627,390736,mobile,ended,48.0,,,checkout delayed,,no,,no,0
537677,389994,mobile,ended,266.0,,,checkout delayed,,no,,no,0
537705,404731,mobile,ended,36.0,,,checkout delayed,,no,,no,0
537803,390467,connect,canceled,,,,checkout not delayed,,no,,no,1
537822,396544,mobile,ended,-35.0,,,checkout not delayed,,no,,no,0
537923,313085,mobile,ended,80.0,,,checkout delayed,,no,,no,0
538012,192803,mobile,ended,3233.0,,,checkout delayed,,no,,no,0
538105,243218,mobile,ended,-24.0,,,checkout not delayed,,no,,no,0
538184,347242,mobile,ended,-129.0,,,checkout not delayed,,no,,no,0
538194,380708,connect,ended,2.0,,,checkout delayed,,no,,no,0
538251,401964,mobile,ended,-37.0,,,checkout not delayed,,no,,no,0
538328,409359,mobile,ended,8.0,,,checkout delayed,,no,,no,0
538437,408937,mobile,ended,-155.0,,,checkout not delayed,,no,,no,0
538501,396281,mobile,ended,134.0,,,checkout delayed,,no,,no,0
538569,406984,mobile,ended,-15.0,,,checkout not delayed,,no,,no,0
538660,297511,mobile,ended,13.0,,,checkout delayed,,no,,no,0
538678,351549,connect,ended,-348.0,,,checkout not delayed,,no,,no,0
538852,311437,mobile,ended,-120.0,,,checkout not delayed,,no,,no,0
538882,369219,mobile,ended,85.0,,,checkout delayed,,no,,no,0
539071,388231,mobile,ended,-35.0,,,checkout not delayed,,no,,no,0
539196,347612,mobile,ended,66.0,,,checkout delayed,,no,,no,0
539241,394966,mobile,ended,,,,checkout not delayed,,no,,no,0
539262,359046,mobile,ended,32.0,,,checkout delayed,,no,,no,0
